Id,Name,rating,total_rating,Phone,Address,web-scraper-start-url,clinic-href
1,Dental Experts Diary,5,55 Ratings,9972908077,"Kopar Khairane, Navi MumbaiOffice No.02, Plot No.320, Sector No.19, Kopar Khairane, Navi Mumbai - 400709 (Near Kalpesh Dairy Jimmi Tower)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Dental-Experts-Diary-Near-Kalpesh-Dairy-Jimmi-Tower-Kopar-Khairane/022PXX22-XX22-230206155032-T5X8_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
2,Dr Jyoti's Dental Care,4.9,217 Ratings,9972315899,"Sher E Punjab-andheri East, MumbaiPlot No 286, Flat No 3A, Sher E Punjab CHS, Tolani Naka, Mahakali Caves Rd, Andheri East, Sher E Punjab-andheri East, Mumbai - 400093 (Opposite  to Mahalakshmi Super Market)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Dr-Jyotis-Dental-Care-Opposite-to-Mahalakshmi-Super-Market-Sher-E-Punjab-andheri-East/022PXX22-XX22-200303121029-P3F1_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
3,Ace Dental Care & Epident Implant Center,4.8,9 Ratings,,"Khar West, MumbaiShop No. 2, Haji Siddiqui 76, Rahat Manzil, Dr. Ambedkar Road, Khar West, Mumbai - 400052 (Opposite St. Elias High School)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Ace-Dental-Care-Epident-Implant-Center-Opposite-St-Elias-High-School-Khar-West/022PXX22-XX22-170602192509-L9I2_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
4,Teeth. Com,5,1 Rating,8460519202,"Naupada-Thane West, ThaneShop No 6, Tara Niwas Society, Tara Niwas Society, Naupada-Thane West, Thane - 400602 (Teen Petrol Pump Near Brahman Shikshan Mandal School)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Teeth-Com-Teen-Petrol-Pump-Near-Brahman-Shikshan-Mandal-School-Naupada-Thane-West/022PXX22-XX22-200203182433-L2W8_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
5,Lotus Dental Care,5,201 Ratings,7411573073,"Vashi, Navi MumbaiRaikar Bhavan, Office No 203 & 204, 2nd Floor, Plot No-9, Vashi, Navi Mumbai - 400703 (Near Noratna Hotel)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Lotus-Dental-Care-Near-Noratna-Hotel-Vashi/022PXX22-XX22-230314195947-Y7C9_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
6,Smileaura Dental Care,4,32 Ratings,7490840239,"Kandivali West, MumbaiShop No 15 Raj Heights Opposite Karnataka Bank, MG Road, Kandivali West, Mumbai - 400067",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Smileaura-Dental-Care-Kandivali-West/022PXX22-XX22-201018171015-C4H1_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
7,The Dental 360 Multispeciality Clinic,5,26 Ratings,8904244537,"Panvel, Navi MumbaiShop No.-  14, Neelkanth Darshan Building, Panvel, Navi Mumbai - 410206 (Near Panvel Bus Stop,Opposite Oriaon Mall)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/The-Dental-360-Multispeciality-Clinic-Near-Panvel-Bus-StopOpposite-Oriaon-Mall-Panvel/022PXX22-XX22-230627235010-Q2R6_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
8,Shree Samrath Dental And Homeopathic Clinic,4.4,37 Ratings,9845217408,"Nalasopara East, PalgharTulinj Road, Nalasopara East, Palghar - 401209 (Beside Vedant Tower)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Shree-Samrath-Dental-And-Homeopathic-Clinic-Beside-Vedant-Tower-Nalasopara-East/022PXX22-XX22-120229035029-S6P7_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
9,Tamhankar Dental - Trusted Since 1972,4.7,170 Ratings,9845423543,"Panvel, Navi Mumbai101, Ajinkya, First Floor, Panvel, Navi Mumbai - 410206 (Near Chhatrapati Shivaji Maharaj Chowk)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Tamhankar-Dental-Trusted-Since-1972-Near-Chhatrapati-Shivaji-Maharaj-Chowk-Panvel/022PXX22-XX22-150817134625-F4E7_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&
10,Dentplus Multispeciality Dental Clinic,5,120 Ratings,9972415394,"Panvel, Navi MumbaiSHOP NO.3, NEELAM APARTMENT, MG ROAD, MOMIN PADA, Panvel, Navi Mumbai - 410206 (OPPOSITE YAKUB BAIG MASJID)",https://www.justdial.com/Mumbai/Dentists/nct-10156331,https://www.justdial.com/Mumbai/Dentplus-Multispeciality-Dental-Clinic-OPPOSITE-YAKUB-BAIG-MASJID-Panvel/022PXX22-XX22-211112184017-X9D1_BZDET?ncatid=10156331&area=&search=Best%20Dentists%20in%20Mumbai%20-%20Book%20Appointment%20Online&mncatname=Dentists&abd_btn=Send%20Enquiry&abd_heading=Dentists&isOpenAbd=1&bd=1&